source_dataset,source_file,source_id,source_row_number,text,raw_label,normalized_raw_label,macro_label
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_29,30,USER هه اني و نهضه don t match لهجه مصريه,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_30,31,طفل صغير و لسناو طويل ما يقلي حد ما تعملش عقلك من عقلو والله الذي لا اله الا هو URL انا يا هو هه,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_31,32,USER بس بلبنان انو تكتبلك كلمتين عالفيسبوك اخطر من انك تمتلك ميليشيا مسلحه #الحريه_لميشال_الدويهي,Lebanon,Lebanon,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_32,33,#العروض_عنا_غير لانه احنا وانتوا عيله وحده #لانكم_غالين_علينا ركز عل الاسم منيح #ارمي_سنتر منا الكم اقوي العروض مع بدايه موسم الصيف من ارمي سنتر ومن مدينتنا الحبيبه نابلس منزفلكم خبر عروضنا بوت او توب سايدر URL URL,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_35,36,USER يومكم طيب ورائع كرائحه #القهوه من هذا المكان الساحر الذي خلفي ترونه #مغاديت الغابه المتحجره بصحراء ليبيا كل معد,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_36,37,USER علميني اكسبي اجر مثلا اعمليلي عرض كل صفحه بقراها عطيني NUM ليرات,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_39,40,من الاشياء اللي فرزتها هالكم يوم هم طبقه المؤثرين والكوميديين وصانعين المحتوي اللي ياما قززونا حياتنا بشكل او باخر اليوم التطورات فرزتهم بدقه شخصيا اتعهد بعدم شل بخت اي واحد منهم وقف وقفه وطن حتي لو من باب التسلق عالاقل كان جريء و واضح #اضراب_الاردن #الدوار_الرابع,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_40,41,ولما تتلاقي الوشوش مرتين ما بيتلاقوش يوم اللقا التاني عمر الوشوش ما بتبقي بعد السنين نفس الوشوش دي بتبقي تبقي شيء تاني URL,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_43,44,السيد هذايا يحب يولي بطل بربي عاونوه زاده يحب هاكي جمعيه الدفاع عن الاقليات اتدافع عليه وعلاش لا ادبرلو URL URL,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_46,47,USER ايوا هد الشي اللي بقي URL,Morocco,Morocco,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_47,48,يا دري دوك ناس داو الفخذ ولا مزال,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_48,49,USER اعزائي بكره عمليتي و محتاجين تبرع بالدم O رقم الملف NUM غيداء العمري مستشفي الملك فهد العام جده ضروري بكره,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_51,52,انا ابن القدس ومن هون URL,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_53,54,USER USER بالله مهي كلمه معبره بتختزل كثير اشياء,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_55,56,رساله الي #حكومه_غزه من مواطن فلسطيني مش_زعلان ع حالي زعلان ع امي الي بتستنا اجمع مهري عشان تفرح فيا URL,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_56,57,USER USER من الفيسبوك وتويتر بس ماتغيرت ضلت تتكرر صراحه انا مارضيت اطلع مكان قلت رح تكون قويه الحلقه ندمت اني حضرتها,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_57,58,#حياتنا_بدها الله يتطلف فينا ويبعتلنا شي نيزك محرز,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_58,59,ان جن ربعك عقلك ما بنفعك,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_60,61,#حمص #تيرمعله براميل متفجر علئ احياء القريه URL,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_63,64,كل مره يتغير ملك او امير في الخليج تهبط سنريوات الانقلاب و URL كلو كلام فارغ و موجه للاستهلاك الاعلامي و URL URL,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_64,65,زعمه ولادنا علاش ما يعملوش هكا زعمه علاش URL,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_65,66,ماما سوزي في عالم بدون يعملو السبرايز بيرذدي تبعك يوم السبت وفي عالم بدون الاحد اي واحد بتفضلي انا ايمت مابدون بس ضروري انا كون حاضره,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_67,68,USER قمه الاستهتار بصحه التوانسه خاصه الاطفال الشركات هذي تعرف مليح انها محميه من اجهزه رقابه فاسده واعلام فاسد ينحني امام اموال,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_68,69,ربي يفرج علينا بس مش انتم لا هما,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_69,70,كل يوم قصه جديده عن اضطهاد الاطباء في مستشفيات مصر و تخويفهم و ضربهم و حبسهم و عزلهم من المهنه في مقابل مرتبات متتعداش ال NUM دولار شهريا ع الجانب الاخر تخيلوا لو هم هيتعاملوا مع الشعب بنفس المبدا و سابوا اماكنهم لمده NUM ساعه بس هيحصل فيهم ايه,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_71,72,USER الله يحميه احسن سفيير #محمد_عساف,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_72,73,USER علي اساس انه خايفين علي مصالح المواطنين يعني احكوا اشي يتصدق ماشي معاليك,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_73,74,القهوه احيانن تجيب الغثيان,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_74,75,USER بما انك عم تسال عن ناس من سالف العصر والزمان بتعرفلي ناصر قنديل شو وضعو شو اخبارو وين صار,Lebanon,Lebanon,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_75,76,حد شاف الريال يا جماعه هه,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_76,77,شاب مازي هذه علاقتي بالشابه صباح ودوكا لا اتصال معاها cheba sabah URL,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_77,78,المولوديه توجور في العالي افضل ماتش في دوري حمد الله لعب و فيكتوار,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_79,80,USER ان شاء الله يهرب الضي,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_81,82,USER USER عندك الحق داكشي عندهم مفروش بزاف مستوي ديال الهواه كون بنكيران ما اعتزلش كون زاد عاود طحنهوم ها المره الله يكون فعوان المغاربه,Morocco,Morocco,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_82,83,خروب الشام حول جوالك الي اي فون مع هذا الثيم Iphone URL URL,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_84,85,USER الموضوع بسيط URL مافيه خير لامو مافي خير لبلدو اذا مؤيد او معارض,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_85,86,USER اول شي بتسمعو لما بتجيك مكالمه مصر ازيك السودان السلام عليكم لبنان كيفك السعوديه شلونك فلسطين لقد طلب المتصل ان تكون ال,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_86,87,وكل ما بنصحي بكونو طلعو قرار جديد للامتحانات و تاجيلها,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_87,88,نرجعو للجامع المعلق الناس الكل في بالها والتراث راسل البلديه خاطر ما عندوش امن باش يمشي يوقف الاشغال البنايه الي قاعده تتبنا في صبره المنصريه علي قارعه الطريق ايضا السلط تمت مراسلتها البلديه يلزمها توقف URL URL,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_88,89,بتحضري مسرحيات نعم بس مو كتير URL,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_91,92,USER قولو لسوسو تلبس القفطان و هوبا يلبس جزائري بغيتهم يفقصو العديان #Ihabamir #Souhilabenlachhab #Staracarabia,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_93,94,USER USER الريال ممكن يغير مركزو باسبوع اثنين شهر بالكثير انت كم تحتاج لتوصل NUM ليغا,Morocco,Morocco,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_94,95,#طلعت ريحتكم #كلن يعني كلن #بدنا نعيش بكرامه #استعمل عقلك شوي بصير في وعي يا شعبي URL,Lebanon,Lebanon,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_97,98,USER مبقناش عارفين نقول اللي جوانا زي الاول حتي هنا ومساحات الحريه اللي ممكن تخرج فيها اللي جوانا عماله تضيق علينا,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_98,99,USER نهبل ولا واش URL كلما نشوفها نموت بالبكا #نطالب_بعوده_سهيله URL,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_100,101,الكلها تستني في الترشح انشاء الله مربوحه,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_101,102,جيران مسكرين ع القراج معش خششت السياره درستلهم قدام حوشهم و سكرت علي سيارتهم يعني معش يطلعو نين يكلموني نحودها ربي يهديني و يهديهم و يهدي جميع المسلمين,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_102,103,يوسف الشاهد قرار عدم تمديد اتفاقيه الملح ليس شعبوي و انا من الناس الي تفعل مش تحكي URL,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_104,105,المرزوقي اليوم باش يكمل سهريتو في URL الي يشربها يرمي الشقف علي حيط URL #ما_ستدعيتونيش_اليوم_نبردلها,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_106,107,تنويه شباب اليوم اتفاجات انو في شخص عم يبلغ عن حسابي وعم يدعي اني انتحل شخصيه ما بحب قلك حسابي عمرو NUM URL URL,Syria,Syria,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_109,110,USER شاب تسلل الي برج مراقبه في مستعمره بيت ايل خبط جندي بدبشه فلق راسه الجندي بين الحياه والموت والشاب رجع يشرب شاي مع ال,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_112,113,نتحدت معهم ونشرح لهم افكارنا وهم لا ينصتون وبعدها ايقولك انت تقره من ورانه,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_113,114,يا شط العقبه يا احلي مكان جمعت الخل مع الخلان,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_115,116,USER نهارك طيب ياكبدي,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_118,119,USER عجبتني جمله شكون اماندا حبيتها منك,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_123,124,USER ابقي فكرني اتمرجع لما اجيلكم,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_124,125,USER انا ما بدي اكون عند حسن ظن الناس انا بدي اكون بجزر المالديف بسبح,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_127,128,في الذاكره واحد النهار بالضبط من بعد صلاه المغرب في اكادير كنت كانتمشي شويه دزت حدا واحد القهوه و بان URL URL,Morocco,Morocco,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_128,129,اليوم واجدين تواا يفوتو باب الحاره ويتفرجو علي المباراه النهائيه,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_130,131,USER انا بالنسبه لي اقول مو صحيح والبلنتيات اللي اخذها النصر في هالموسم كلها مو صحيحه حتي بطولاتنا صفري ما عندنا ولا بطوله بس اخذنا هالبطوله تكفي عن البطولات كلها اللي ما قدروا يحصلونها ولا يمكن يحصلونه وعطه هذي مع التحيه URL,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_131,132,USER مفيش اسئله ملهاش اجابه في اسئله انت خايف تعرف اجابتها,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_133,134,USER USER USER ياارب والله مثل هالاشياء ماودك تطلع للاسف الناس اغلبها ماتذكر الله,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_135,136,USER USER والله انكم مساكين تريدون باي طريقه تمسكون علي عسكر اي شيء لكن الله حاميه عنكم يا عقاريين الفلس,Saudi_Arabia,Saudi_Arabia,Saudi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_139,140,البروفيل عند الجزائريين تلقاه يسكن في لاس فيغاس و يقرا في تيارت هه,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_140,141,يا رب مش عايز غير بيتزا hotdog كبيره ليا لوحدي و علبه Galaxy jewels و شاشه بلازما كبيره و Cinnabon و Playstation NUM و NUM مليار دولار يا رب D,Egypt,Egypt,Egyptian
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_141,142,غياب الفيسبوك لساعات URL اجمل ما حصل في هذا اليوم URL مش وقح,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_142,143,لنقنا جديات URL بالكم ماعندش URL,Libya,Libya,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_145,146,USER USER بس احنا مش حنخلي نسيم يقول بابا لحد تاني بعد علوش p,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_147,148,USER فيديو سهيله لنا وللطلاب اكبرر دليل علي فشلهم وخسارتهم ماتعطوهم الفرصه مانتابعو مانرتوتو كملو المقاطعه الله يرضي عليكم,Algeria,Algeria,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_149,150,سؤال محيرني قائمات kalb تونس اشنوه رايهم في الادله الي تورط رئيس حزبهم لا فمه بيانات لا ستاتويات ولا تغريدات ولا لطميات,Tunisia,Tunisia,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_150,151,#والنار_نصف_الكلام #والاضراب_هو_الخيار #ذكرهم_بلاش_ينسوا تبا لنا وكاننا لا نملك الا ان نعد بطولتهم URL URL,Palestine,Palestine,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_153,154,USER USER ياا الله احنا شو تفكيرنا عنصري هو بتخوث علي المتخلفين اللي عنا اللي كل مادق الكوزبالجره بحكوا هالجمله,Jordan,Jordan,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_155,156,USER USER روقي URL عند الانتربول الليله قبل بكرا,Lebanon,Lebanon,Levantine
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_156,157,فوزي جمال نتستاهلوا ناكلو لعصا من الجمهور او حشومه نقدموا هاد اﻻداء اليوم صراحه الفريق وصل الي اقصي ما URL URL,Morocco,Morocco,Maghrebi
NADI2023_Subtask1_TRAIN,data/raw/nadi2023/NADI2023_Release_Train/Subtask1/NADI2023_Subtask1_TRAIN.tsv,subtask1_train_159,160,USER في اشخاص اذا جيت اسولف معهم يفتحون النفس لدرجه اني اعلمهم بكل فضايحي,Saudi_Arabia,Saudi_Arabia,Saudi
